entity_id,name,camapaña_tipo,calculo_tipo,tin,plazo,valor,activo
13,Caixa - Configuración Base - octubre25,1,1,8.99,108,17.25,True
13,Caixa - Configuración Base - octubre25,1,3,8.99,108,1.4113,True
13,Caixa - Configuración Base - octubre25,1,2,8.99,108,12.25,True
13,Caixa - Configuración Base - octubre25,1,0,8.99,120,1.44,True
13,Caixa - Configuración Base - octubre25,1,1,8.99,120,17.25,True
13,Caixa - Configuración Base - octubre25,1,3,8.99,120,1.32,True
13,Caixa - Configuración Base - octubre25,1,2,8.99,120,12.25,True
13,Caixa - Configuración Base - octubre25,1,0,9.99,48,2.7635,True
13,Caixa - Configuración Base - octubre25,1,1,9.99,48,12.5,True
13,Caixa - Configuración Base - octubre25,1,3,9.99,48,2.6435,True
13,Caixa - Configuración Base - octubre25,1,2,9.99,48,7.5,True
13,Caixa - Configuración Base - octubre25,1,0,9.99,60,2.3345,True
13,Caixa - Configuración Base - octubre25,1,1,9.99,60,15.0,True
13,Caixa - Configuración Base - octubre25,1,3,9.99,60,2.2145,True
13,Caixa - Configuración Base - octubre25,1,2,9.99,60,10.0,True
13,Caixa - Configuración Base - octubre25,1,0,9.99,72,2.0508,True
13,Caixa - Configuración Base - octubre25,1,1,9.99,72,16.5,True
13,Caixa - Configuración Base - octubre25,1,3,9.99,72,1.9308,True
13,Caixa - Configuración Base - octubre25,1,2,9.99,72,11.5,True
13,Caixa - Configuración Base - octubre25,1,0,9.99,84,1.8501,True
13,Caixa - Configuración Base - octubre25,1,1,9.99,84,18.0,True
13,Caixa - Configuración Base - octubre25,1,3,9.99,84,1.7301,True
13,Caixa - Configuración Base - octubre25,1,2,9.99,84,13.0,True
13,Caixa - Configuración Base - octubre25,1,0,9.99,96,1.7014,True
13,Caixa - Configuración Base - octubre25,1,1,9.99,96,19.5,True
13,Caixa - Configuración Base - octubre25,1,3,9.99,96,1.5814,True
13,Caixa - Configuración Base - octubre25,1,2,9.99,96,14.5,True
13,Caixa - Configuración Base - octubre25,1,0,9.99,108,1.5871,True
13,Caixa - Configuración Base - octubre25,1,1,9.99,108,19.5,True
13,Caixa - Configuración Base - octubre25,1,3,9.99,108,1.4671,True
13,Caixa - Configuración Base - octubre25,1,2,9.99,108,14.5,True
13,Caixa - Configuración Base - octubre25,1,0,9.99,120,1.4971,True
13,Caixa - Configuración Base - octubre25,1,1,9.99,120,19.5,True
13,Caixa - Configuración Base - octubre25,1,3,9.99,120,1.3771,True
13,Caixa - Configuración Base - octubre25,1,2,9.99,120,14.5,True
13,Caixa - Configuración Base - octubre25,1,0,10.99,48,2.8139,True
13,Caixa - Configuración Base - octubre25,1,1,10.99,48,14.5,True
13,Caixa - Configuración Base - octubre25,1,3,10.99,48,2.6939,True
13,Caixa - Configuración Base - octubre25,1,2,10.99,48,9.5,True
13,Caixa - Configuración Base - octubre25,1,0,10.99,60,2.3861,True
13,Caixa - Configuración Base - octubre25,1,1,10.99,60,17.0,True
13,Caixa - Configuración Base - octubre25,1,3,10.99,60,2.2661,True
13,Caixa - Configuración Base - octubre25,1,2,10.99,60,12.0,True
13,Caixa - Configuración Base - octubre25,1,0,10.99,72,2.1038,True
13,Caixa - Configuración Base - octubre25,1,1,10.99,72,18.0,True
13,Caixa - Configuración Base - octubre25,1,3,10.99,72,1.9838,True
13,Caixa - Configuración Base - octubre25,1,2,10.99,72,13.0,True
13,Caixa - Configuración Base - octubre25,1,0,10.99,84,1.9045,True
13,Caixa - Configuración Base - octubre25,1,1,10.99,84,21.0,True
13,Caixa - Configuración Base - octubre25,1,3,10.99,84,1.7845,True
13,Caixa - Configuración Base - octubre25,1,2,10.99,84,16.0,True
13,Caixa - Configuración Base - octubre25,1,0,10.99,96,1.757,True
13,Caixa - Configuración Base - octubre25,1,1,10.99,96,22.0,True
13,Caixa - Configuración Base - octubre25,1,3,10.99,96,1.637,True
13,Caixa - Configuración Base - octubre25,1,2,10.99,96,17.0,True
13,Caixa - Configuración Base - octubre25,1,0,10.99,108,1.6442,True
13,Caixa - Configuración Base - octubre25,1,1,10.99,108,22.0,True
13,Caixa - Configuración Base - octubre25,1,3,10.99,108,1.5242,True
13,Caixa - Configuración Base - octubre25,1,2,10.99,108,17.0,True
13,Caixa - Configuración Base - octubre25,1,0,10.99,120,1.5555,True
13,Caixa - Configuración Base - octubre25,1,1,10.99,120,22.0,True
13,Caixa - Configuración Base - octubre25,1,3,10.99,120,1.4355,True
13,Caixa - Configuración Base - octubre25,1,2,10.99,120,17.0,True
13,Caixa - Configuración Base - octubre25,0,0,6.99,48,2.6159,True
13,Caixa - Configuración Base - octubre25,0,1,6.99,48,6.5,True
13,Caixa - Configuración Base - octubre25,0,3,6.99,48,2.4959,True
13,Caixa - Configuración Base - octubre25,0,2,6.99,48,1.5,True
13,Caixa - Configuración Base - octubre25,0,0,6.99,60,2.1838,True
13,Caixa - Configuración Base - octubre25,0,1,6.99,60,7.0,True
13,Caixa - Configuración Base - octubre25,0,3,6.99,60,2.0638,True
13,Caixa - Configuración Base - octubre25,0,2,6.99,60,2.0,True
13,Caixa - Configuración Base - octubre25,0,0,6.99,72,1.8969,True
13,Caixa - Configuración Base - octubre25,0,1,6.99,72,7.0,True
13,Caixa - Configuración Base - octubre25,0,3,6.99,72,1.7769,True
13,Caixa - Configuración Base - octubre25,0,2,6.99,72,2.0,True
13,Caixa - Configuración Base - octubre25,0,0,6.99,84,1.6929,True
13,Caixa - Configuración Base - octubre25,0,1,6.99,84,7.0,True
13,Caixa - Configuración Base - octubre25,0,3,6.99,84,1.5729,True
13,Caixa - Configuración Base - octubre25,0,2,6.99,84,2.0,True
13,Caixa - Configuración Base - octubre25,0,0,6.99,96,1.5408,True
13,Caixa - Configuración Base - octubre25,0,1,6.99,96,7.0,True
13,Caixa - Configuración Base - octubre25,0,3,6.99,96,1.4208,True
13,Caixa - Configuración Base - octubre25,0,2,6.99,96,2.0,True
13,Caixa - Configuración Base - octubre25,0,0,6.99,108,1.4233,True
13,Caixa - Configuración Base - octubre25,0,1,6.99,108,7.0,True
13,Caixa - Configuración Base - octubre25,0,3,6.99,108,1.3033,True
13,Caixa - Configuración Base - octubre25,0,2,6.99,108,2.0,True
13,Caixa - Configuración Base - octubre25,0,0,6.99,120,1.3299,True
13,Caixa - Configuración Base - octubre25,0,1,6.99,120,7.0,True
13,Caixa - Configuración Base - octubre25,0,3,6.99,120,1.2099,True
13,Caixa - Configuración Base - octubre25,0,2,6.99,120,2.0,True
13,Caixa - Configuración Base - octubre25,0,0,7.99,48,2.6646,True
13,Caixa - Configuración Base - octubre25,0,1,7.99,48,9.0,True
13,Caixa - Configuración Base - octubre25,0,3,7.99,48,2.5446,True
13,Caixa - Configuración Base - octubre25,0,2,7.99,48,4.0,True
13,Caixa - Configuración Base - octubre25,0,0,7.99,60,2.2333,True
13,Caixa - Configuración Base - octubre25,0,1,7.99,60,11.0,True
13,Caixa - Configuración Base - octubre25,0,3,7.99,60,2.1133,True
13,Caixa - Configuración Base - octubre25,0,2,7.99,60,6.0,True
13,Caixa - Configuración Base - octubre25,0,0,7.99,72,1.9473,True
